Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A689228,Louie,10/01/14,7:21AM,3005 S. Lamar in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund/Chihuahua Shorthair,Sable/Tan
A689234,,10/01/14,8:44AM,Travis (TX),Stray,Nursing,Dog,Unknown,0 years,Labrador Retriever Mix,Brown/Black
A689239,,10/01/14,8:44AM,Travis (TX),Stray,Nursing,Dog,Unknown,0 years,Labrador Retriever Mix,Sable
A689237,,10/01/14,8:44AM,Travis (TX),Stray,Nursing,Dog,Unknown,0 years,Labrador Retriever Mix,Black/Brown
A689238,,10/01/14,8:44AM,Travis (TX),Stray,Nursing,Dog,Unknown,0 years,Labrador Retriever Mix,Sable/Brown
A689235,,10/01/14,8:44AM,Travis (TX),Stray,Nursing,Dog,Unknown,0 years,Labrador Retriever Mix,Black/White
A689236,,10/01/14,8:44AM,Travis (TX),Stray,Nursing,Dog,Unknown,0 years,Labrador Retriever Mix,Black/White
A689241,Lady,10/01/14,10:05AM,Airport in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever/Basset Hound,Black/White
A688878,Jd,10/01/14,10:19AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A689243,Biela,10/01/14,10:57AM,3600 Presidential Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Dogue De Bordeaux Mix,Red
A689253,Spider Man,10/01/14,11:03AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,7 months,Domestic Shorthair Mix,Black
A689246,Lori,10/01/14,11:03AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A689255,Spider Woman,10/01/14,11:03AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A689252,Emerald,10/01/14,11:03AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Longhair Mix,Torbie
A689254,Amenia,10/01/14,11:03AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A689244,Cass,10/01/14,11:06AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 years,Maine Coon Mix,Torbie
A673394,Maya,10/01/14,11:23AM,1909 Blue Meadow in Austin (TX),Stray,Injured,Dog,Spayed Female,5 years,Pit Bull Mix,Brown Brindle/White
A689245,Nala,10/01/14,11:23AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 months,Chihuahua Longhair Mix,White
A689248,*Jack,10/01/14,11:37AM,4601 Craigwood Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
A689249,*Janet,10/01/14,11:37AM,4601 Craigwood Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
A689247,,10/01/14,11:37AM,4601 Craigwood Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A689250,*Chrissy,10/01/14,11:37AM,4601 Craigwood Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
A689251,Blue,10/01/14,11:38AM,Grover Ave & Payne Ave in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
A663846,Cj,10/01/14,11:46AM,2206 Blue Meadow Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Buff
A689265,Scratch,10/01/14,12:56PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico/Black
A689264,Monarch,10/01/14,12:56PM,3201 Northeast Dr in Austin (TX),Stray,Normal,Other,Unknown,1 year,Rex Mix,White/Black
A689257,*Hailey,10/01/14,1:10PM,2310 Canterbury St in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Australian Cattle Dog Mix,White/Brown
A689258,,10/01/14,1:18PM,3611 Pace Bend Rd S in Travis (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A689259,,10/01/14,1:18PM,3611 Pace Bend Rd S in Travis (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A689262,Chavo,10/01/14,1:35PM,9300 Northgate Blvd, Austin, Tx in Austin (TX),Stray,Normal,Dog,Intact Male,1 year
A689260,Gambit,10/01/14,1:39PM,14307 Vandever in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Shetland Sheepdog Mix,Black/Brown
A689261,Buddy,10/01/14,1:39PM,14307 Vandever in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Dachshund Wirehair Mix,White
A689263,*Franklin,10/01/14,1:52PM,Parkfield Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Poodle,White/Black
A686393,Sugar,10/01/14,2:06PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White
A689266,*Casey,10/01/14,2:37PM,1500 Newton in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A689267,,10/01/14,2:47PM,11705 Manchaca Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
