Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A689146,,10/01/14,7:54AM,Euthanasia,Rabies Risk,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/Calico
A689208,,10/01/14,7:56AM,Euthanasia,Suffering,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White/Brown Tabby
A689225,,10/01/14,9:00AM,Transfer,SCRP,Cat,Intact Female,6 years,Domestic Medium Hair Mix,Brown Tabby
A689202,,10/01/14,11:30AM,Euthanasia,Rabies Risk,Other,Unknown,6 months,Bat Mix,Gray
A684326,Kelvi,10/01/14,11:37AM,Adoption,,Dog,Spayed Female,5 years,Border Collie Mix,Black/White
A574935,Blue,10/01/14,12:11PM,Transfer,Partner,Dog,Neutered Male,10 years,Australian Cattle Dog Mix,Blue Merle/Black
A575129,Brandi,10/01/14,12:11PM,Transfer,Partner,Dog,Spayed Female,10 years,Australian Cattle Dog Mix,Red Merle
A688991,Shades,10/01/14,12:25PM,Transfer,Partner,Dog,Intact Male,3 years,Shih Tzu,Sable/White
A689108,Andromeda,10/01/14,12:30PM,Adoption,,Cat,Spayed Female,5 years,Himalayan Mix,Flame Point
A689241,Lady,10/01/14,12:53PM,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever/Basset Hound,Black/White
A688094,Savvy,10/01/14,12:57PM,Transfer,Partner,Dog,Intact Female,7 months,Black Mouth Cur Mix,Brown/White
A688918,Storm,10/01/14,1:27PM,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Brown Tabby
A689038,Trouble,10/01/14,2:01PM,Transfer,Partner,Cat,Intact Male,3 years,Domestic Shorthair Mix,Orange Tabby
A684772,*Peanut,10/01/14,2:03PM,Transfer,Partner,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Black
A687060,Pablo,10/01/14,2:24PM,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A688144,Tarzan,10/01/14,2:26PM,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A651258,Ethan,10/01/14,3:03PM,Return to Owner,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
